CHEMBLID,smiles,ido_ic50,tdo_ic50
CHEMBL4279627,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(C(F)(F)F)c1,6.698970004336019,6.301029995663981
CHEMBL4279698,Nc1sc2c(-c3ccncc3)cccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4279754,Nc1sc2ccc(Cl)cc2c1Nc1ccc(F)c(C(F)(F)F)c1,6.698970004336019,5.698970004336019
CHEMBL4279780,Nc1oc2cnccc2c1Nc1ccc(F)c(F)c1,6.698970004336019,6.301029995663981
CHEMBL4279821,CCc1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,6.698970004336019,6.301029995663981
CHEMBL4280005,Nc1sc2ccccc2c1Nc1ccc(F)cc1,6.698970004336019,5.698970004336019
CHEMBL4280079,Cc1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)cc(C)n1,6.698970004336019,5.698970004336019
CHEMBL4280094,N#Cc1ccc2c(Nc3ccc(F)c(Cl)c3)c(N)sc2c1,6.0,5.698970004336019
CHEMBL4280101,Nc1sc2cnc(F)cc2c1Nc1ccc(F)c(F)c1,6.698970004336019,6.301029995663981
CHEMBL4280108,Cc1cc(-c2nccc3c(Nc4cccc(F)c4)c(N)oc23)ccn1,6.698970004336019,6.301029995663981
CHEMBL4280114,Nc1oc2cnccc2c1Nc1cccc2c1CCCC2,6.0,5.698970004336019
CHEMBL4280130,Nc1oc2c(-c3cc(F)cc(F)c3)nccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4280350,Cc1cc(-c2nccc3c(Nc4ccccc4Cl)c(N)oc23)ccn1,6.698970004336019,6.301029995663981
CHEMBL4280480,Cc1cc(-c2nccc3c(Nc4ccccc4N4CCCCC4)c(N)oc23)ccn1,6.0,5.698970004336019
CHEMBL4280494,Cc1cc(C)cc(Nc2c(N)oc3cnccc23)c1,6.698970004336019,6.301029995663981
CHEMBL4280505,CCCCCNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,6.698970004336019,5.698970004336019
CHEMBL4280522,N#Cc1nccc2c(Nc3cc(F)cc(F)c3)c(N)oc12,6.0,6.301029995663981
CHEMBL4280533,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccc(C#N)cc2)n1,6.698970004336019,5.698970004336019
CHEMBL4280727,Nc1oc2c(-c3ccncc3)nccc2c1Nc1cccc(C(F)(F)F)c1,6.698970004336019,6.301029995663981
CHEMBL4280768,Cc1cc(-c2nc(F)cc3c(Nc4ccc(F)c(F)c4)c(N)oc23)ccn1,6.698970004336019,6.301029995663981
CHEMBL4280928,Nc1oc2c(-c3ccncc3)nccc2c1Nc1cc(F)cc(F)c1,6.698970004336019,6.301029995663981
CHEMBL4281007,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,6.698970004336019,6.301029995663981
CHEMBL4281024,Nc1oc2cnccc2c1Nc1ccc(I)c(Cl)c1,6.0,6.301029995663981
